M,Opponent,Date,Result,Event
421,El Salvador,"November 17, 2002",2–0,Friendly
422,Canada,"January 18, 2003",4–0,Friendly
423,Argentina,"February 18, 2003",0–1,Friendly
424,Jamaica,"February 12, 2003",2–1,Friendly
425,Venezuela,"March 29, 2003",2–0,Friendly
426,Mexico,"May 8, 2003",0–0,Friendly
427,Wales,"May 26, 2003",2–0,Friendly
428,New Zealand,"June 8, 2003",2–1,Friendly
429,Turkey,"June 19, 2003",1–2,Confederations Cup GS
430,Brazil,"June 21, 2003",0–1,Confederations Cup GS
431,Cameroon,"June 21, 2003",0–0,Confederations Cup GS
432,Paraguay,"July 6, 2003",2–0,Friendly
433,El Salvador,"July 11, 2003",2–0,Gold Cup GS
434,Martinique,"July 11, 2003",2–0,Gold Cup GS
435,Cuba,"July 19, 2003",5–0,Gold Cup QF
436,Brazil,"July 23, 2003",1–2,Gold Cup SF
437,Costa Rica,"July 26, 2003",3–2,Gold Cup 3PG
438,Denmark,"January 18, 2004",1–1,Friendly
439,Netherlands,"February 18, 2004",0–1,Friendly
440,Haiti,"March 13, 2004",1–1,Friendly
441,Poland,"March 31, 2004",1–0,Friendly
442,Mexico,"April 28, 2004",1–0,Friendly
443,Honduras,"June 2, 2004",4–0,Friendly
444,Grenada,"June 13, 2004",3–0,World Cup Q
445,Grenada,"June 20, 2004",3–2,World Cup Q
446,Poland,"July 11, 2004",1–1,Friendly
447,Jamaica,"August 18, 2004",1–1,World Cup Q
448,El Salvador,"September 4, 2004",2–0,World Cup Q
449,Panama,"September 8, 2004",1–1,World Cup Q
450,El Salvador,"October 9, 2004",2–0,World Cup Q
451,Panama,"October 13, 2004",6–0,World Cup Q
452,Jamaica,"November 17, 2004",1–1,World Cup Q
453,Trinidad and Tobago,"February 9, 2005",2–1,World Cup Q
454,Colombia,"March 9, 2005",3–0,Friendly
455,Honduras,"March 19, 2005",1–0,Friendly
456,Mexico,"March 27, 2005",1–2,World Cup Q
457,Guatemala,"March 30, 2005",2–0,World Cup Q
458,England,"May 28, 2005",1–2,Friendly
459,Costa Rica,"June 4, 2005",3–0,World Cup Q
460,Panama,"June 8, 2005",3–0,World Cup Q
461,Cuba,"July 6, 2005",4–1,Gold Cup GS
462,Canada,"July 8, 2005",2–0,Gold Cup GS
463,Costa Rica,"July 11, 2005",0–0,Gold Cup GS
464,Jamaica,"July 16, 2005",3–1,Gold Cup QF
465,Honduras,"July 21, 2005",2–1,Gold Cup SF
466,Panama,"July 24, 2005",0(3)–0(1),Gold Cup F
467,Trinidad and Tobago,"August 17, 2005",1–0,World Cup Q
468,Mexico,"September 3, 2005",2–0,World Cup Q
469,Guatemala,"September 7, 2005",0–0,World Cup Q
470,Costa Rica,"October 8, 2005",0–3,World Cup Q
471,Panama,"October 12, 2005",2–0,World Cup Q
472,Scotland,"November 12, 2005",1–1,Friendly
473,Canada,"January 22, 2006",0–0,Friendly
474,Norway,"January 29, 2006",5–0,Friendly
475,Japan,"February 10, 2006",3–2,Friendly
476,Guatemala,"February 19, 2006",4–0,Friendly
477,Poland,"March 1, 2006",1–0,Friendly
478,Germany,"March 22, 2006",1–4,Friendly
479,Jamaica,"April 11, 2006",1–1,Friendly
480,Morocco,"May 23, 2006",0–1,Friendly
481,Venezuela,"May 26, 2006",2–0,Friendly
482,Latvia,"May 28, 2006",1–0,Friendly
483,Czech Republic,"June 12, 2006",0–3,World Cup GS
484,Italy,"June 17, 2006",1–1,World Cup GS
485,Ghana,"June 22, 2006",1–2,World Cup GS
486,Denmark,"January 20, 2007",3–1,Friendly
487,Mexico,"February 7, 2007",2–0,Friendly
