M,Opponent,Date,Result,team_score,opponent_score,Event
538,Canada,"May 8, 2014",1–1,1,1,Friendly
539,France,"June 14, 2014",1–0,1,0,Friendly
540,France,"June 19, 2014",2–2,2,2,Friendly
541,Switzerland,"August 20, 2014",4–1,4,1,Friendly
542,Mexico,"September 13, 2014",8–0,8,0,Friendly
543,Mexico,"September 18, 2014",4–0,4,0,Friendly
544,Trinidad and Tobago,"October 15, 2014",1–0,1,0,Concacaf Championship
545,Guatemala,"October 17, 2014",5–0,5,0,Concacaf Championship
546,Haiti,"October 20, 2014",6–0,6,0,Concacaf Championship
547,Mexico,"October 24, 2014",3–0,3,0,Concacaf Championship SF
548,Costa Rica,"October 26, 2014",6–0,6,0,Concacaf Championship F
549,China,"December 10, 2014",1–1,1,1,Brasilia Tournament
550,Brazil,"December 14, 2014",2–3,2,3,Brasilia Tournament
551,Argentina,"December 18, 2014",7–0,7,0,Brasilia Tournament
552,Brazil,"December 21, 2014",0–0,0,0,Brasilia Tournament
553,France,"February 8, 2015",0–2,0,2,Friendly
554,England,"February 13, 2015",1–0,1,0,Friendly
555,Norway,"March 4, 2015",2–1,2,1,Algarve Cup
556,Switzerland,"March 6, 2015",3–0,3,0,Algarve Cup
557,Iceland,"March 9, 2015",0–0,0,0,Algarve Cup
558,France,"March 11, 2015",2–0,2,0,Algarve Cup Final
559,New Zealand,"April 4, 2015",4–0,4,0,Friendly
560,Republic of Ireland,"May 10, 2015",3–0,3,0,Friendly
561,Mexico,"May 17, 2015",5–1,5,1,Friendly
562,South Korea,"May 30, 2015",0–0,0,0,Friendly
563,Australia,"June 8, 2015",3–1,3,1,World Cup
564,Sweden,"June 12, 2015",0–0,0,0,World Cup
565,Nigeria,"June 16, 2015",1–0,1,0,World Cup
566,Colombia,"June 22, 2015",2–0,2,0,World Cup R16
567,China,"June 26, 2015",1–0,1,0,World Cup QF
568,Germany,"June 30, 2015",2–0,2,0,World Cup SF
569,Japan,"July 5, 2015",5–2,5,2,World Cup F
570,Costa Rica,"August 16, 2015",8–0,8,0,Friendly
571,Costa Rica,"August 19, 2015",7–2,7,2,Friendly
572,Haiti,"September 17, 2015",5–0,5,0,Friendly
573,Haiti,"September 20, 2015",8–0,8,0,Friendly
574,Brazil,"October 21, 2015",1–1,1,1,Friendly
575,Brazil,"October 25, 2015",3–1,3,1,Friendly
576,Trinidad and Tobago,"December 10, 2015",6–0,6,0,Friendly
577,China,"December 13, 2015",2–0,2,0,Friendly
578,China,"December 16, 2015",0–1,0,1,Friendly
579,Republic of Ireland,"January 23, 2016",5–0,5,0,Friendly
580,Costa Rica,"February 10, 2016",5–0,5,0,Olympic Qualifying
581,Mexico,"February 13, 2016",1–0,1,0,Olympic Qualifying
582,Puerto Rico,"February 15, 2016",10–0,10,0,Olympic Qualifying
583,Trinidad and Tobago,"February 19, 2016",5–0,5,0,Olympic Qualifying SF
584,Canada,"February 21, 2016",2–0,2,0,Olympic Qualifying F
585,England,"March 3, 2016",1–0,1,0,SheBelieves Cup
586,France,"March 6, 2016",1–0,1,0,SheBelieves Cup
587,Germany,"March 9, 2016",2–1,2,1,SheBelieves Cup
588,Colombia,"April 6, 2016",7–0,7,0,Friendly
589,Colombia,"April 10, 2016",3–0,3,0,Friendly
590,Japan,"June 2, 2016",3–3,3,3,Friendly
591,Japan,"June 5, 2016",2–0,2,0,Friendly
592,South Africa,"July 9, 2016",1–0,1,0,Friendly
593,Costa Rica,"July 22, 2016",4–0,4,0,Friendly
594,New Zealand,"August 3, 2016",2–0,2,0,Olympics
595,France,"August 6, 2016",1–0,1,0,Olympics
596,Colombia,"August 9, 2016",2–2,2,2,Olympics
597,Sweden,"August 12, 2016",1(3)–1(4),3,4,Olympics QF
598,Thailand,"September 15, 2016",9–0,9,0,Friendly
599,Netherlands,"September 18, 2016",3–1,3,1,Friendly
600,Switzerland,"October 19, 2016",4–0,4,0,Friendly
601,Switzerland,"October 23, 2016",5–1,5,1,Friendly
602,Romania,"November 10, 2016",8–1,8,1,Friendly
603,Romania,"November 13, 2016",5–0,5,0,Friendly
604,Germany,"March 1, 2017",1–0,1,0,SheBelieves Cup
605,England,"March 4, 2017",0–1,0,1,SheBelieves Cup
606,France,"March 7, 2017",0–3,0,3,SheBelieves Cup
607,Russia,"April 6, 2017",4–0,4,0,Friendly
608,Russia,"April 9, 2017",5–1,5,1,Friendly
609,Sweden,"June 8, 2017",1–0,1,0,Friendly
610,Norway,"June 11, 2017",1–0,1,0,Friendly
611,Australia,"July 27, 2017",0–1,0,1,Tournament of Nations
612,Brazil,"July 30, 2017",4–3,4,3,Tournament of Nations
613,Japan,"August 3, 2017",3–0,3,0,Tournament of Nations
614,New Zealand,"September 15, 2017",3–1,3,1,Friendly
615,New Zealand,"September 19, 2017",5–0,5,0,Friendly
616,South Korea,"October 19, 2017",3–1,3,1,Friendly
617,South Korea,"October 22, 2017",6–0,6,0,Friendly
618,Canada,"November 9, 2017",1–1,1,1,Friendly
619,Canada,"November 12, 2017",3–1,3,1,Friendly
620,Denmark,"January 21, 2018",5–1,5,1,Friendly
621,Germany,"March 1, 2018",1–0,1,0,SheBelieves Cup
622,France,"March 4, 2018",1–1,1,1,SheBelieves Cup
623,England,"March 7, 2018",1–0,1,0,SheBelieves Cup
624,Mexico,"April 5, 2018",4–1,4,1,Friendly
625,Mexico,"April 8, 2018",6–2,6,2,Friendly
626,China,"June 7, 2018",1–0,1,0,Friendly
627,China,"June 12, 2018",2–1,2,1,Friendly
628,Japan,"July 26, 2018",4–2,4,2,Tournament of Nations
629,Australia,"July 29, 2018",1–1,1,1,Tournament of Nations
630,Brazil,"August 2, 2018",4–1,4,1,Tournament of Nations
631,Chile,"August 31, 2018",3–0,3,0,Friendly
632,Chile,"September 4, 2018",4–0,4,0,Friendly
633,Mexico,"October 4, 2018",6–0,6,0,Concacaf Championship
634,Panama,"October 7, 2018",5–0,5,0,Concacaf Championship
635,Trinidad and Tobago,"October 10, 2018",7–0,7,0,Concacaf Championship
636,Jamaica,"October 14, 2018",6–0,6,0,Concacaf Championship
637,Canada,"October 17, 2018",2–0,2,0,Concacaf Championship Final
638,Portugal,"November 8, 2018",1–0,1,0,Friendly
639,Scotland,"November 13, 2018",1–0,1,0,Friendly
640,France,"January 19, 2019",1–3,1,3,Friendly
641,Spain,"January 22, 2019",1–0,1,0,Friendly
642,Japan,"February 27, 2019",2–2,2,2,SheBelieves Cup
643,England,"March 2, 2019",2–2,2,2,SheBelieves Cup
644,Brazil,"March 5, 2019",1–0,1,0,SheBelieves Cup
645,Australia,"April 4, 2019",5–3,5,3,Friendly
646,Belgium,"April 7, 2019",6–0,6,0,Friendly
647,South Africa,"May 12, 2019",3–0,3,0,Friendly
648,New Zealand,"May 16, 2019",5–0,5,0,Friendly
649,Mexico,"May 26, 2019",3–0,3,0,Friendly
650,Thailand,"June 11, 2019",13–0,13,0,World Cup
651,Chile,"June 16, 2019",3–0,3,0,World Cup
652,Sweden,"June 20, 2019",2–0,2,0,World Cup
653,Spain,"June 24, 2019",2–1,2,1,World Cup R16
654,France,"June 28, 2019",2–1,2,1,World Cup QF
655,England,"July 2, 2019",2–1,2,1,World Cup SF
656,Netherlands,"July 7, 2019",2–0,2,0,World Cup Final
657,Republic of Ireland,"August 3, 2019",3–0,3,0,Friendly
658,Portugal,"August 29, 2019",4–0,4,0,Friendly
659,Portugal,"September 3, 2019",3–0,3,0,Friendly
660,South Korea,"October 3, 2019",2–0,2,0,Friendly
661,South Korea,"October 6, 2019",1–1,1,1,Friendly
662,Sweden,"November 7, 2019",3–2,3,2,Friendly
663,Costa Rica,"November 10, 2019",6–0,6,0,Friendly
664,Haiti,"January 28, 2020",4–0,4,0,Olympic Qualifying
665,Panama,"January 31, 2020",8–0,8,0,Olympic Qualifying
666,Costa Rica,"February 3, 2020",6–0,6,0,Olympic Qualifying
667,Mexico,"February 7, 2020",4–0,4,0,Olympic Qualifying SF
668,Canada,"February 9, 2020",3–0,3,0,Olympic Qualifying F
669,England,"March 5, 2020",2–0,2,0,SheBelieves Cup
670,Spain,"March 8, 2020",1–0,1,0,SheBelieves Cup
671,Japan,"March 11, 2020",3–1,3,1,SheBelieves Cup
672,Netherlands,"November 27, 2020",2–0,2,0,Friendly
673,Colombia,"January 18, 2021",4–0,4,0,Friendly
674,Colombia,"January 22, 2021",6–0,6,0,Friendly
675,Canada,"February 18, 2021",1–0,1,0,SheBelieves Cup
676,Brazil,"February 21, 2021",2–0,2,0,SheBelieves Cup
677,Argentina,"February 24, 2021",6–0,6,0,SheBelieves Cup
678,Sweden,"April 10, 2021",1–1,1,1,Friendly
679,France,"April 13, 2021",2–0,2,0,Friendly
680,Portugal,"June 10, 2021",1–0,1,0,Friendly
681,Jamaica,"June 13, 2021",4–0,4,0,Friendly
682,Nigeria,"June 16, 2021",2–0,2,0,Friendly
683,Mexico,"July 1, 2021",4–0,4,0,Friendly
684,Mexico,"July 5, 2021",4–0,4,0,Friendly
